eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
197912151055,1979,12,15,10,55,30.45,-79.64,1.97,33,4.4,0
197912151523,1979,12,15,15,23,33.28,-79.2,3.05,43.3,5,0
197912151611,1979,12,15,16,11,27.09,-79.61,2.77,33,4.6,0
197912151956,1979,12,15,19,56,34.56,-78.6,3.63,33,4.4,0
197912152001,1979,12,15,20,1,51.91,-78.76,2.88,28.6,4.8,0
197912152026,1979,12,15,20,26,21.76,-79.42,2.71,16.3,5,0
197912152037,1979,12,15,20,37,21.19,-79.18,2.81,56.5,4.7,0
197912152327,1979,12,15,23,27,54.38,-79.15,2.46,33,4.6,0
197912160817,1979,12,16,8,17,24.37,-79.96,2.54,33,4.6,0
197912160827,1979,12,16,8,27,4.01,-79.27,2.9,33,4.2,0
197912161543,1979,12,16,15,43,13.13,-79.19,2.69,33,4.9,0
197912170216,1979,12,17,2,16,50.18,-79.52,2.96,49.8,4.6,0
197912170610,1979,12,17,6,10,49.33,-78.69,2.89,33,4.4,0
197912170925,1979,12,17,9,25,53.43,-78.81,3.48,33,4.4,0
197912171058,1979,12,17,10,58,12.14,-79.03,2.59,49.9,4.5,0
197912171240,1979,12,17,12,40,11.25,-78.61,3.29,33,4.6,0
197912180746,1979,12,18,7,46,50.59,-79.21,2.51,33,4.6,0
197912180843,1979,12,18,8,43,16.89,-79.73,2.28,33,4.5,0
197912181711,1979,12,18,17,11,36.97,-79.34,3,33,4.5,0
196702100039,1967,2,10,0,39,40,-74.2,3.02,109,4.1,0
196702100639,1967,2,10,6,39,12.3,-74.39,2.93,132,4,0
196702110855,1967,2,11,8,55,43,-74.7,3.3,127,4.3,0
196702121355,1967,2,12,13,55,8,-74.7,3.2,83,4.3,0
196805272132,1968,5,27,21,32,4,-80.88,0.31,18,4.2,0
196805272249,1968,5,27,22,49,20,-80.99,0.26,12,4.1,0
196805291324,1968,5,29,13,24,0,-82.4,4,67,4.1,0
196805291418,1968,5,29,14,18,30,-82.8,3.7,11,4.3,0
196805292136,1968,5,29,21,36,11,-83.6,3.3,27,4.5,0
196806051342,1968,6,5,13,42,19.5,-80.4,0.9,33,4.1,0
196806121733,1968,6,12,17,33,8.1,-76.47,-6.34,112,4.2,0
196806170308,1968,6,17,3,8,22,-79.2,-2.9,105,4.2,0
196806190813,1968,6,19,8,13,34.57,-77.15,-5.55,15.6,6.9,0
196806190836,1968,6,19,8,36,26.7,-77.13,-5.3,33,4.7,0
196806190838,1968,6,19,8,38,13,-77.3,-3.4,405,4.4,0
196806190901,1968,6,19,9,1,24,-78.7,-4.6,128,4.3,0
196806190901,1968,6,19,9,1,24,-77.2,-5.9,147,4.3,0
196806190904,1968,6,19,9,4,59,-76.86,-5.4,255,4.3,0
196806190905,1968,6,19,9,5,48.9,-77.26,-5.37,26,5.3,0
196806190911,1968,6,19,9,11,21,-77.4,-4.1,278,4.4,0
196806190917,1968,6,19,9,17,20.9,-77,-5.75,91,4.6,0
196806190927,1968,6,19,9,27,11.4,-77,-5.5,33,4.2,0
196806190928,1968,6,19,9,28,1.3,-77.18,-5.64,38,4.6,0
196806190935,1968,6,19,9,35,20.3,-77.13,-5.14,33,4,0
196806191018,1968,6,19,10,18,46.29,-77.21,-5.67,23.7,4.9,0
196806191057,1968,6,19,10,57,25.46,-77.23,-5.55,23.3,4.8,0
196806191100,1968,6,19,11,0,6,-77.12,-5.3,33,4.5,0
196806191242,1968,6,19,12,42,20,-77,-5.66,49,4.5,0
196806191246,1968,6,19,12,46,21,-77.2,-5.93,130,4.4,0
196806191420,1968,6,19,14,20,17.1,-76.97,-5.55,33,4.2,0
196806191654,1968,6,19,16,54,36,-77.4,-5.82,92,4.8,0
196806191706,1968,6,19,17,6,10,-77.9,-5.7,33,4.2,0
196806191707,1968,6,19,17,7,44.69,-77.35,-5.64,24.8,5,0
196806192119,1968,6,19,21,19,11.2,-77.1,-5.66,33,4.5,0
196806192338,1968,6,19,23,38,59.8,-77.31,-5.62,21.9,5.1,0
196806200011,1968,6,20,0,11,26,-77.31,-5.83,118,4.4,0
196806200028,1968,6,20,0,28,13,-77.13,-5.42,16,4.2,0
196806200047,1968,6,20,0,47,47.8,-77.01,-5.52,33,4.2,0
196806200238,1968,6,20,2,38,38.55,-77.25,-5.51,21.6,5.7,0
196806221159,1968,6,22,11,59,13,-76.6,-5.4,33,4.2,0
196806221834,1968,6,22,18,34,7,-76.95,-5.51,36,4.5,0
196806222016,1968,6,22,20,16,54.7,-77.28,-5.6,33,4.3,0
196806231909,1968,6,23,19,9,50.3,-78.2,-5.8,33,4.2,0
196806240259,1968,6,24,2,59,37,-77.2,-5.69,64,4.3,0
196806241058,1968,6,24,10,58,59.3,-77.09,-5.49,23,4.1,0
196806241403,1968,6,24,14,3,54,-76.7,-5.96,132,4.3,0
196806251003,1968,6,25,10,3,57.6,-76.84,-5.56,120,4.2,0
196806260453,1968,6,26,4,53,46.62,-77.29,-5.72,22.7,4.8,0
196806260633,1968,6,26,6,33,55,-78,-6.24,98,4.3,0
196806260646,1968,6,26,6,46,41,-76.7,-6.2,153,4.1,0
196806261634,1968,6,26,16,34,15.47,-77.21,-5.59,42,5,0
196806262051,1968,6,26,20,51,11,-77.17,-5.57,48,4.5,0
196806270710,1968,6,27,7,10,40,-76.9,-5.78,98,4.3,0
196806270935,1968,6,27,9,35,40,-76.6,-5.76,67,4,0
196806271027,1968,6,27,10,27,4,-77.8,-5.96,114,4.3,0
196806291843,1968,6,29,18,43,34,-77.3,-6.06,134,4.2,0
196806300209,1968,6,30,2,9,48,-77.1,-5.39,30,4.2,0
196807011108,1968,7,1,11,8,22.2,-77.2,-5.66,40,4.8,0
196807031524,1968,7,3,15,24,0,-76.92,-5.82,111,4.1,0
196807050645,1968,7,5,6,45,44.3,-77.34,-5.5,59,4.3,0
196807071235,1968,7,7,12,35,54.4,-76.98,-5.72,90,4.3,0
196807072348,1968,7,7,23,48,10.51,-77.18,-5.71,30.3,5.4,0
196807080845,1968,7,8,8,45,48.69,-77.01,-5.69,29.7,4.7,0
196807081134,1968,7,8,11,34,14.1,-75.9,2.31,33,4.5,0
196807090513,1968,7,9,5,13,45.7,-76.78,-2.4,163,4,0
196807141001,1968,7,14,10,1,12.4,-77.19,-5.37,43,4.4,0
196807141519,1968,7,14,15,19,0.1,-76.89,-5.45,39,4.2,0
196807161230,1968,7,16,12,30,0.7,-77.09,-5.79,77,4.5,0
196807161318,1968,7,16,13,18,44.57,-77.35,-5.73,23.4,5,0
